time,symbol,action,price,qty,pnl_pct,note,worker_id
2025-08-13T16:26:30.205806+00:00,LINKUSDT,BUY,23.82000000,4.19000000,,worker,2
2025-08-13T16:27:05.210087+00:00,ARBUSDT,BUY,0.54930000,182.00000000,,worker,3
2025-08-13T16:27:14.919817+00:00,FETUSDT,BUY,0.74400000,134.40000000,,worker,1
2025-08-13T16:27:21.957908+00:00,INJUSDT,BUY,15.71000000,6.36000000,,worker,4
2025-08-13T16:33:08.307018+00:00,ETHUSDT,BUY,4763.71000000,0.01050000,,worker,5
2025-08-13T16:34:08.895325+00:00,ETHUSDT,SELL_SL,4642.60428571,0.01050000,-2.5423,stop-loss,5
2025-08-13T16:34:14.953677+00:00,SOLUSDT,BUY,199.66000000,0.50000000,,worker,5
2025-08-13T16:52:22.177789+00:00,BNBUSDT,BUY,842.96000000,0.11800000,,worker,10
2025-08-13T16:52:31.327732+00:00,GALAUSDT,BUY,0.01860000,5376.00000000,,worker,8
2025-08-13T16:54:34.869303+00:00,DOGEUSDT,BUY,0.24160000,413.00000000,,worker,7
2025-08-13T16:54:36.858314+00:00,LINKUSDT,BUY,23.57000000,4.24000000,,worker,6
2025-08-13T16:56:12.183356+00:00,PYRUSDT,BUY,1.19600000,83.61200000,,worker,9
2025-08-13T16:58:43.757429+00:00,DOTUSDT,BUY,4.21900000,23.70000000,,worker,12
2025-08-13T16:59:25.783160+00:00,APTUSDT,BUY,4.99100000,20.03000000,,worker,13
2025-08-13T16:59:31.192843+00:00,FETUSDT,BUY,0.74100000,134.90000000,,worker,11
2025-08-13T16:59:44.974789+00:00,ENSUSDT,BUY,29.30000000,3.41000000,,worker,14
2025-08-13T17:12:05.781313+00:00,ARBUSDT,SELL_TIME,0.54900000,182.00000000,-0.0546,time>45m,3
2025-08-13T17:26:04.265755+00:00,DOGEUSDT,BUY,0.24338000,410.00000000,,worker,1
2025-08-13T17:26:06.580540+00:00,LTCUSDT,BUY,130.20000000,0.76800000,,worker,3
2025-08-13T17:26:07.982154+00:00,HBARUSDT,BUY,0.26431000,378.00000000,,worker,2
2025-08-13T17:26:44.538141+00:00,ETHUSDT,BUY,4729.46000000,0.02110000,,worker,4
2025-08-13T17:26:50.591674+00:00,TRXUSDT,BUY,0.36200000,276.20000000,,worker,5
